date,open,close,high,low,volume,amount,log_return,amplitude_pct,volatility_5d,volatility_20d,bias_ratio_20d,guba_avg_sentiment,guba_post_volume,guba_pos_ratio,news_avg_sentiment,news_post_volume,news_pos_ratio
2025/3/18,3434.57,3429.76,3437.07,3423.3,454916063,5.86338E+11,0.001058944,0.4019111942629142,13.85752004249806,12.666693818703347,1.8057537930120569,-0.055040533,2697,0.474972191,0,0,0
2025/3/19,3424.17,3426.43,3439.05,3414.59,440316299,5.5997E+11,-0.000971385,0.7131694345960078,13.559507601331136,12.452570844765194,1.593989331894322,-0.114507424,3210,0.44330218068535826,0.95,1,1
2025/3/20,3425.22,3408.95,3427.05,3404.66,451630682,5.65608E+11,-0.005114577,0.6534498005212519,13.975427304529642,12.641336326461111,0.9886157291261396,-0.110103201,3336,0.44394484412470026,0,0,0
2025/3/21,3401.76,3364.83,3414.71,3355.84,520862630,6.23164E+11,-0.013026884,1.7269247128881295,9.706317304705436,13.21949683829707,-0.297330456,-0.143037557,7153,0.4279323360827625,0,0,0
2025/3/24,3364.83,3370.03,3373.69,3340.24,513310260,5.86745E+11,0.001544205,0.9941066859247056,9.583855407805016,13.21948894779059,-0.138811742,-0.212452601,5414,0.388991504,0.8958727121353149,1,1
2025/3/25,3370,3369.98,3379.99,3361.05,456357393,5.16436E+11,-1.48E-05,0.5620128010729756,9.302219305294496,12.87876590935583,-0.175700696,-0.205863741,5248,0.3942454268292683,0.8911784291267395,1,1
2025/3/26,3365.67,3368.7,3382.34,3365.67,428533770,4.85186E+11,-0.000379896,0.4946616893868828,9.413000114,12.34706142727971,-0.196602649,-0.156093257,3392,0.4230542452830189,0,0,0
2025/3/27,3362.71,3373.75,3394.03,3351.17,414776314,4.96457E+11,0.001497972,1.2723008875827508,9.815472298911674,12.32851292938609,-0.025795493,-0.123901244,3590,0.4384401114206128,0,0,0
2025/3/28,3372.04,3351.31,3375.05,3346.08,412284289,4.68808E+11,-0.006673571,0.8586884031122713,5.387264055740756,10.212706507263109,-0.735484685,-0.208363701,5241,0.39439038351459643,0,0,0
2025/3/31,3343.34,3335.75,3361.74,3317.74,472571978,5.31476E+11,-0.004653773,1.3129194255380732,5.480508549505149,10.359576520044914,-1.223896843,-0.142845636,5696,0.42503511235955055,-0.969138861,1,0
